#,文件,seed,类别,首要原因,建议处理,具体修改建议
1,pack01_03,1067,illegal_search,检索对象不可用,改日志,检索对象不在卡组（已被奖品区/弃牌区/手牌占用）。请更换检索目标，或调整路线使该卡留在卡组。 | 详情: 【My-T2】 路线: GOAL: 7. [操作] 伙伴糖果 (illegal_search: Dunsparce not in deck (in prizes) @ 【My-T2】 路线: GOAL: 伙伴糖果)
2,pack01_04,1305,edited_replay_drift,结束快照漂移,改日志,"结束手牌/场面与操作不自洽。请按本回合操作逐步重算结束手牌与替补席，修正【回合结束手牌】或【回合结束场面】快照。 | 详情: 【My-T2】 路线: WATER-T2: end_hand drift: log=['雪童子', 'Mega 大雪妖女 ex', '愿增猿', '土龙节节 ex', '基本恶能量'] vs run=['Dudunsparce ex', 'Mega Froslass ex', 'Munkidori', 'Snorunt']"
3,pack01_09,1244,edited_unparsed,操作解析失败,改日志,操作解析失败。常见：缺少[备注]（莉莉艾/土龙节节特性抽牌后须写抽牌后手牌）。请补齐备注或修正操作写法。 | 详情: 【My-T2】 路线: REC-F-B: 10. [特性] 土龙节节特性→撤退抽三张卡 (run-away: missing 龙节节特性后手牌 备注)
4,pack02_02,1233,edited_replay_drift,结束快照漂移,改日志,"结束手牌/场面与操作不自洽。请按本回合操作逐步重算结束手牌与替补席，修正【回合结束手牌】或【回合结束场面】快照。 | 详情: 【My-T2】 路线: GREEDY-T2: end_hand drift: log=['雪童子', 'Mega 大雪妖女 ex', '雪童子', '老大的指令', '含羞苞', '愿增猿'] vs run=[""Boss's Orders"", 'Budew', 'Mega Froslass ex', 'Munkidori', 'Snorunt']"
5,pack02_07,1068,edited_replay_drift,结束快照漂移,改日志,"结束手牌/场面与操作不自洽。请按本回合操作逐步重算结束手牌与替补席，修正【回合结束手牌】或【回合结束场面】快照。 | 详情: 【My-T2】 路线: LILLIE-T2: end_hand drift: log=['希尔达', '含羞苞', '夜之伸展器', '基本恶能量', 'Mega 大海星 ex'] vs run=['Budew', 'Darkness Energy', 'Hilda', 'Mega Starmie ex', 'Night Stretcher', 'Switch']; 【My-T3】 路线: REC"
6,pack02_08,1046,edited_replay_drift,结束快照漂移,改日志,"结束手牌/场面与操作不自洽。请按本回合操作逐步重算结束手牌与替补席，修正【回合结束手牌】或【回合结束场面】快照。 | 详情: 【My-T2】 路线: LILLIE-T2: end_hand drift: log=['交替', '危险废墟', '基本恶能量', '伙伴糖果', '希尔达', '克里宾', '夜之伸展器', '含羞苞', '愿增猿', '宝可梦手环', '瓦利的慈悲'] vs run=['Budew', 'Crispin', 'Darkness Energy', 'Hilda', 'Munkidori', '"
7,pack03_06,1109,edited_unparsed,操作解析失败,改日志,"操作解析失败。常见：缺少[备注]（莉莉艾/土龙节节特性抽牌后须写抽牌后手牌）。请补齐备注或修正操作写法。 | 详情: 【My-T2】 路线: GREEDY-T2: 5. [特性] 土龙节节特性→撤退抽三张卡 (run-away: 备注 hand implies 4 drawn (expected 3): pre=[104, 1097, 1182, 1260, 1031, 3] note=['雪妖女', '夜之伸展器', '老大的指令', '危险废墟', 'Mega 大海星 ex', '基本水能量', '基本水能量"
8,pack03_09,1480,illegal_search,检索对象不可用,改日志,检索对象不在卡组（已被奖品区/弃牌区/手牌占用）。请更换检索目标，或调整路线使该卡留在卡组。 | 详情: 【My-T2】 路线: LILLIE-T2: 2. [操作] 使用 莉莉艾 (opening axis) (illegal_search: Darkness Energy not in deck (in prizes) @ 【My-T2】 路线: LILLIE-T2: 使用 莉莉艾 (opening axis)); 【My-T2】 路线: LILLIE-T2: 5. [操作] 宝可梦手环 → 海星
9,pack04_04,1268,edited_unparsed,操作解析失败,改日志,操作解析失败。常见：缺少[备注]（莉莉艾/土龙节节特性抽牌后须写抽牌后手牌）。请补齐备注或修正操作写法。 | 详情: 【My-T2】 路线: REC-F-E: 3. [操作] 使用莉莉艾 (lillie: missing 抽牌后手牌 备注); 【My-T2】 路线: REC-F-E: 6. [贴能] 基本水能量 → 海星星（替补席） (attach energy)
10,pack04_05,1346,edited_replay_drift,结束快照漂移,改日志,"结束手牌/场面与操作不自洽。请按本回合操作逐步重算结束手牌与替补席，修正【回合结束手牌】或【回合结束场面】快照。 | 详情: 【My-T1】 路线: GREEDY-T1: end_hand drift: log=['雪童子', '愿增猿', '伙伴糖果', '夜之伸展器'] vs run=['Fan Rotom', 'Munkidori', 'Night Stretcher', 'Poffin', 'Snorunt']; 【My-T2】 路线: REC-F-D: end_hand drift: log=['雪童子', '"
11,pack05_02,1401,edited_replay_drift,结束快照漂移,改日志,"结束手牌/场面与操作不自洽。请按本回合操作逐步重算结束手牌与替补席，修正【回合结束手牌】或【回合结束场面】快照。 | 详情: 【My-T2】 路线: GREEDY-T2: end_hand drift: log=['危险废墟', '土龙节节 ex', '雪童子'] vs run=['Dudunsparce ex', 'Mega Starmie ex', 'Risky Ruins', 'Snorunt']"
12,pack05_04,1417,validator_issues,格式问题,改日志,"格式问题：步号不连续，或本回合开始场面与上一回合结束场面不一致。请修正步号/场面。 | 详情: 【My-T2】 路线: GREEDY-T2 C6 board drift vs prev end: bench [('海星星', ['基本水能量']), ('喵头目ex', [])]->[('海星星', ['基本水能量'])]"
13,pack05_09,1156,edited_replay_drift,结束快照漂移,改日志,"结束手牌/场面与操作不自洽。请按本回合操作逐步重算结束手牌与替补席，修正【回合结束手牌】或【回合结束场面】快照。 | 详情: 【My-T3】 路线: REC-F-A: end_hand drift: log=['希尔达', '危险废墟', '莉莉艾', 'Mega 大海星 ex', '基本水能量', '克里宾'] vs run=['Crispin', 'Hilda', 'Lillie', 'Risky Ruins', 'Water Energy']"
14,pack05_10,1042,edited_unparsed,操作解析失败,改日志,操作解析失败。常见：缺少[备注]（莉莉艾/土龙节节特性抽牌后须写抽牌后手牌）。请补齐备注或修正操作写法。 | 详情: 【My-T2】 路线: REC-F-A: 3. [操作] 使用莉莉艾 (lillie: missing 抽牌后手牌 备注)
